,"Month, Year",HM-NE,CF-NE,FF-NE,HM-SW,CF-SW,FF-SW,HM-NW,CF-NW,FF-NW,HM-SE,CF-SE,FF-SE,HM-C,CF-C,FF-C
11,Dec-16,1280303.0,533459.0,320075.0,1306490.0,523023.0,313813.0,1287225.0,515310.0,309186.0,1266216.0,527590.0,316554.0,1199842.0,499934.0,299960.0
12,Jan-17,1381012.0,575421.0,345253.0,1356550.0,565229.0,339137.0,1341018.0,558757.0,348938.0,1316604.0,570976.0,329151.0,1290590.0,537745.0,335816.0
13,Feb-17,1480936.0,617056.0,355715.0,1451591.0,604829.0,362897.0,1428344.0,571804.0,357086.0,1405780.0,562771.0,337662.0,1386331.0,554985.0,346582.0
14,Mar-17,1381012.0,598908.0,359344.0,1358087.0,588966.0,353379.0,1393347.0,557794.0,348336.0,1378270.0,574279.0,331055.0,1307257.0,566922.0,340153.0
15,Apr-17,1429463.0,572252.0,357365.0,1411049.0,564881.0,352762.0,1329007.0,576355.0,332251.0,1358906.0,544006.0,339726.0,1335282.0,556367.0,333820.0
16,May-17,1472779.0,589593.0,353755.0,1395077.0,581282.0,363004.0,1367489.0,593043.0,341872.0,1347357.0,561398.0,350587.0,1381392.0,553008.0,345348.0
17,Jun-17,1487808.0,619920.0,357365.0,1471677.0,589151.0,353491.0,1442457.0,601024.0,346472.0,1420841.0,568801.0,341280.0,1344775.0,583193.0,349916.0
18,Jul-17,1419956.0,615797.0,354989.0,1391670.0,603530.0,362118.0,1367838.0,593195.0,341959.0,1343314.0,582559.0,349535.0,1318052.0,549188.0,342962.0
19,Aug-17,1522698.0,634457.0,380674.0,1560316.0,650131.0,374781.0,1536702.0,640292.0,384175.0,1447084.0,627562.0,376537.0,1431076.0,620620.0,372372.0
20,Sep-17,1538236.0,615797.0,369478.0,1462819.0,634386.0,365704.0,1433985.0,597493.0,373128.0,1467806.0,611586.0,352561.0,1450080.0,604200.0,348303.0
21,Oct-17,1466507.0,611044.0,366626.0,1448688.0,603620.0,376954.0,1478973.0,592072.0,355243.0,1401670.0,607867.0,350417.0,1374453.0,572688.0,357638.0
22,Nov-17,1572618.0,655257.0,393154.0,1542173.0,617373.0,385543.0,1519708.0,633211.0,365028.0,1439282.0,599701.0,374507.0,1475555.0,590704.0,368888.0
23,Dec-17,1588665.0,661944.0,397166.0,1570750.0,628813.0,392687.0,1492847.0,647408.0,388445.0,1537545.0,615520.0,384386.0,1517969.0,632487.0,379492.0
24,Jan-18,1574815.0,656173.0,409773.0,1607493.0,643522.0,386113.0,1586799.0,661166.0,381143.0,1570926.0,628883.0,377330.0,1547730.0,644887.0,371758.0
25,Feb-18,1688763.0,703651.0,422190.0,1597750.0,665729.0,399437.0,1640630.0,656788.0,410157.0,1545259.0,670138.0,402082.0,1517826.0,632427.0,394944.0
26,Mar-18,1574816.0,656173.0,378264.0,1551672.0,621175.0,387918.0,1532001.0,638333.0,383000.0,1509031.0,628762.0,362463.0,1486792.0,595202.0,371698.0
27,Apr-18,1623266.0,676361.0,422380.0,1605619.0,669008.0,401404.0,1574000.0,655833.0,409561.0,1611615.0,645172.0,402903.0,1532852.0,638688.0,383213.0
28,May-18,1672456.0,725300.0,435180.0,1709237.0,684253.0,410552.0,1622550.0,676062.0,405637.0,1601156.0,667148.0,400289.0,1580994.0,685635.0,411381.0
29,Jun-18,1559609.0,676361.0,405816.0,1534783.0,665594.0,399356.0,1569245.0,653852.0,392311.0,1491366.0,621402.0,372841.0,1474712.0,639543.0,383726.0
30,Jul-18,1671717.0,669233.0,401540.0,1587310.0,688374.0,413024.0,1566687.0,679430.0,391671.0,1603342.0,641861.0,385116.0,1583461.0,659775.0,395865.0
31,Aug-18,1654831.0,717656.0,413707.0,1625106.0,704765.0,406276.0,1662321.0,692634.0,399283.0,1574144.0,682664.0,409598.0,1543848.0,669525.0,385962.0
32,,1430637.96875,599707.4375,358187.0,1416525.4375,586213.40625,353439.71875,1392516.75,580236.5,347222.65625,1371127.1875,571153.34375,342030.65625,1348022.1875,562801.0,341990.75
33,,1430637.96875,599707.4375,358187.0,1416525.4375,586213.40625,353439.71875,1392516.75,580236.5,347222.65625,1371127.1875,571153.34375,342030.65625,1348022.1875,562801.0,341990.75
34,,1430637.96875,599707.4375,358187.0,1416525.4375,586213.40625,353439.71875,1392516.75,580236.5,347222.65625,1371127.1875,571153.34375,342030.65625,1348022.1875,562801.0,341990.75
